epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,6,,,34.57634353637695,0.19825679063796997,35.87416076660156,0.2232256382703781,25.071868896484375
0,6,30.333890914916992,,,,,,
1,13,,,20.382577896118164,0.11927148699760437,21.902889251708984,0.12563110888004303,15.158653259277344
1,13,16.058549880981445,,,,,,
2,20,,,15.226855278015137,0.09621133655309677,16.83908462524414,0.09521790593862534,11.950398445129395
2,20,9.219919204711914,,,,,,
3,27,,,15.871384620666504,0.0976775735616684,17.49165916442871,0.09835414588451385,10.416258811950684
3,27,7.4358649253845215,,,,,,
4,34,,,15.6629056930542,0.09658004343509674,17.281469345092773,0.09710612893104553,9.981810569763184
4,34,6.930622577667236,,,,,,
5,41,,,14.92032241821289,0.0938216894865036,16.539430618286133,0.09312324970960617,9.85263442993164
5,41,6.8658127784729,,,,,,
6,48,,,15.186570167541504,0.09382118284702301,16.801376342773438,0.09416518360376358,9.7530517578125
6,48,6.812389373779297,,,,,,
7,49,,7.289264678955078,,,,,
7,55,,,14.863112449645996,0.09193053096532822,16.476713180541992,0.09216496348381042,9.875261306762695
7,55,6.732312202453613,,,,,,
8,62,,,14.499520301818848,0.08974430710077286,16.11754035949707,0.08989021182060242,9.700020790100098
8,62,6.663695335388184,,,,,,
9,69,,,14.190320014953613,0.08669301867485046,15.789383888244629,0.08743054419755936,9.554730415344238
9,69,6.366551399230957,,,,,,
10,76,,,12.90130615234375,0.07946401089429855,14.51015567779541,0.07956729084253311,9.143208503723145
10,76,6.096470355987549,,,,,,
11,83,,,12.028121948242188,0.07253961265087128,13.535760879516602,0.07328686863183975,8.731858253479004
11,83,5.569849491119385,,,,,,
12,90,,,11.338950157165527,0.06705743819475174,12.852778434753418,0.06823698431253433,8.175827980041504
12,90,4.979423999786377,,,,,,
13,97,,,10.792160987854004,0.06225552037358284,12.45933723449707,0.0638163685798645,7.670093059539795
13,97,4.543705940246582,,,,,,
14,99,,4.413395881652832,,,,,
14,104,,,10.078655242919922,0.05818917229771614,11.70461654663086,0.0591098889708519,7.324337005615234
14,104,4.055513858795166,,,,,,
15,111,,,9.649309158325195,0.05429098755121231,11.189200401306152,0.055646732449531555,7.044487476348877
15,111,3.696798086166382,,,,,,
16,118,,,9.472101211547852,0.05390026792883873,11.016587257385254,0.05469764769077301,7.021946907043457
16,118,3.445505142211914,,,,,,
17,125,,,9.264537811279297,0.051917072385549545,10.671798706054688,0.05316418409347534,6.8676557540893555
17,125,3.208864212036133,,,,,,
18,132,,,8.949797630310059,0.05059053748846054,10.383091926574707,0.05141361802816391,6.775403022766113
18,132,3.027993679046631,,,,,,
19,139,,,9.274360656738281,0.052146270871162415,10.622586250305176,0.053614016622304916,6.700850963592529
19,139,2.897221088409424,,,,,,
20,146,,,8.973414421081543,0.05044246464967728,10.335360527038574,0.05164234712719917,6.594819068908691
20,146,2.8236634731292725,,,,,,
21,149,,2.7893221378326416,,,,,
21,153,,,8.661691665649414,0.048792436718940735,10.029742240905762,0.049813102930784225,6.361196041107178
21,153,2.69917893409729,,,,,,
22,160,,,8.631632804870605,0.048621710389852524,9.95895004272461,0.04966600611805916,6.371419429779053
22,160,2.624825954437256,,,,,,
23,167,,,8.65129566192627,0.04885178431868553,10.020528793334961,0.04991010203957558,6.446854591369629
23,167,2.544463634490967,,,,,,
24,174,,,8.421150207519531,0.04743163287639618,9.75808048248291,0.04845250025391579,6.389770984649658
24,174,2.4675204753875732,,,,,,
25,181,,,8.280945777893066,0.04684334620833397,9.691252708435059,0.047630202025175095,6.27274751663208
25,181,2.391691207885742,,,,,,
26,188,,,8.276300430297852,0.04688944295048714,9.690276145935059,0.047571368515491486,6.244795799255371
26,188,2.328052520751953,,,,,,
27,195,,,8.237038612365723,0.046504635363817215,9.611032485961914,0.047316644340753555,6.259952068328857
27,195,2.2706000804901123,,,,,,
28,199,,2.1315159797668457,,,,,
28,202,,,8.275620460510254,0.046688951551914215,9.640613555908203,0.047646503895521164,6.194063186645508
28,202,2.2612175941467285,,,,,,
29,209,,,8.335213661193848,0.047206539660692215,9.72310733795166,0.04795090854167938,6.189306259155273
29,209,2.201192617416382,,,,,,
30,216,,,8.206084251403809,0.046297550201416016,9.580246925354004,0.047104157507419586,6.117913246154785
30,216,2.179877758026123,,,,,,
31,223,,,8.228509902954102,0.046287816017866135,9.575188636779785,0.04720023646950722,6.138260364532471
31,223,2.1615731716156006,,,,,,
32,230,,,8.311257362365723,0.04672907292842865,9.655814170837402,0.04779784753918648,6.129787921905518
32,230,2.103731155395508,,,,,,
33,237,,,8.292935371398926,0.04699081555008888,9.705018997192383,0.04771975055336952,6.156813621520996
33,237,2.118772029876709,,,,,,
34,244,,,8.403489112854004,0.047272250056266785,9.789676666259766,0.048092130571603775,6.199004173278809
34,244,2.094992160797119,,,,,,
35,249,,2.1291275024414062,,,,,
35,251,,,8.192888259887695,0.046169158071279526,9.528647422790527,0.04698096215724945,6.110044479370117
35,251,2.051162004470825,,,,,,
36,258,,,8.371220588684082,0.04688100516796112,9.696754455566406,0.048006314784288406,6.175628662109375
36,258,1.995091438293457,,,,,,
37,265,,,8.278631210327148,0.046375393867492676,9.607460975646973,0.047425735741853714,6.1792988777160645
37,265,2.0086631774902344,,,,,,
38,272,,,8.294872283935547,0.04649513214826584,9.656564712524414,0.04744693264365196,6.156545639038086
38,272,1.956941843032837,,,,,,
39,279,,,8.297442436218262,0.04645032063126564,9.621296882629395,0.0474979393184185,6.166084289550781
39,279,1.947388768196106,,,,,,
40,286,,,8.309075355529785,0.046691421419382095,9.6844482421875,0.04751095548272133,6.186505317687988
40,286,1.9477579593658447,,,,,,
