epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,2,,27.93621063232422,0.1852782666683197,28.773426055908203,0.20785626769065857,26.869441986083984
0,2,21.359909057617188,,,,,
1,5,,26.237823486328125,0.17391005158424377,27.157917022705078,0.19359369575977325,21.604873657226562
1,5,14.62002182006836,,,,,
2,8,,24.18564224243164,0.1604187935590744,25.21940040588379,0.17675034701824188,18.182350158691406
2,8,10.804584503173828,,,,,
3,11,,21.898527145385742,0.14598827064037323,22.98317527770996,0.15864241123199463,15.840229988098145
3,11,8.697402954101562,,,,,
4,14,,19.517446517944336,0.13199575245380402,20.500499725341797,0.14072349667549133,14.093899726867676
4,14,7.2349677085876465,,,,,
5,17,,17.302915573120117,0.11908048391342163,18.378293991088867,0.12449757754802704,12.807693481445312
5,17,6.196280002593994,,,,,
6,20,,15.59731674194336,0.10936884582042694,16.83121109008789,0.11237428337335587,11.804604530334473
6,20,5.775975704193115,,,,,
7,23,,14.411664009094238,0.10285139083862305,15.747368812561035,0.10421376675367355,11.079082489013672
7,23,5.453667163848877,,,,,
8,26,,13.835931777954102,0.09947612881660461,15.210102081298828,0.10024433583021164,10.624736785888672
8,26,5.3900275230407715,,,,,
9,29,,13.904853820800781,0.09915236383676529,15.245688438415527,0.1004982516169548,10.374043464660645
9,29,5.478866100311279,,,,,
10,32,,14.267495155334473,0.10032518208026886,15.558133125305176,0.1027052253484726,10.308839797973633
10,32,5.3724212646484375,,,,,
11,35,,14.544602394104004,0.10121337324380875,15.787700653076172,0.10440348833799362,10.35948371887207
11,35,5.4764251708984375,,,,,
12,38,,14.3396635055542,0.09948532283306122,15.579071044921875,0.10279488563537598,10.434833526611328
12,38,5.478712558746338,,,,,
13,41,,13.76807975769043,0.09562404453754425,15.034817695617676,0.09862075001001358,10.48193073272705
13,41,5.3281097412109375,,,,,
14,44,,12.930037498474121,0.0901300236582756,14.2432279586792,0.09258580207824707,10.433818817138672
14,44,5.12048864364624,,,,,
15,47,,12.374616622924805,0.08662545680999756,13.708510398864746,0.08866611868143082,10.36034107208252
15,47,5.070245742797852,,,,,
